id_chantier,adresse,code_postal,latitude,longitude
417,1 place Baudoyer,75004,48.85622539393377,2.3551079425587322
2040,164 rue de Rivoli,75001,48.86173558679861,2.3387704344346
333,81 boulevard Saint-Marcel,75013,48.83686764390983,2.3527534052515
2027,53 rue Baudricourt,75013,48.82593652146308,2.3632610149768745
1187,52 rue de Javel,75015,48.845730886851165,2.2818353453613494
55,53 ter quai des Grands-Augustins,75006,48.85554954368092,2.3409805498273273
1417,1 place du Panthéon,75005,48.84536428709507,2.34663081359216
702,8 rue Louis Thuillier,75005,48.84258288139483,2.343518836779845
1928,16 rue de l'Hôtel de Ville,75004,48.8538774561176,2.357381522254329
1442,123 rue Saint-Jacques,75005,48.84801754669502,2.3441758663245498
1302,4 rue Lobineau,75006,48.851812892992214,2.336470755038895
1049,1 place Maubert,75005,48.84999520887573,2.348583106250331
1846,79 rue Galande,75005,48.8520742396422,2.3464536812639167
1476,2w rue de Médicis,75006,48.84751160873264,2.338563528122298
2238,21 rue Cambacérès,75008,48.873092514010565,2.317873535245994
1941,2 rue Pierre Dac,75018,48.88980640265242,2.3387369105324978
1266,6 place Paul Painlevé,75005,48.85033224301176,2.343933230067444
1528,1 rue du Sommerard,75005,48.84965131862603,2.3476136247762454
1056,1 place de la Bastille,75004,48.85301955978804,2.368035729700038
1111,2w rue de Médicis,75006,48.84751160873264,2.338563528122298
248,252 rue Saint-Denis,75002,48.86941918597878,2.352664196043576
503,8 rue de l'Abbaye,75006,48.85424791655117,2.3349027542354253
2203,19 rue de Vaugirard,75006,48.848891325590046,2.3340743200580176
1378,52 avenue de Versailles,75016,48.848447265358544,2.2745051974252966
441,292 rue Saint-Jacques,75005,48.84120806336128,2.3410070387276423
920,3 allée des Justes de France,75004,48.85496476696853,2.3561924716859215
979,204 rue du Faubourg Saint-Honoré,75008,48.87516467465606,2.30509728770294
1829,1 rue Descartes,75005,48.8474848368881,2.348666731833887
7,10 villa Saint-Jacques,75014,48.832510891806535,2.3348957548347222
1230,1 place de l'Île-de-Sein,75014,48.8341887628507,2.3364346566835694
1649,6 boulevard de Port-Royal,75005,48.83707641729495,2.3507344164050785
1289,52 rue du Cardinal Lemoine,75005,48.84633583857093,2.3510375864843804
412,67 boulevard Saint-Marcel,75013,48.8373353544478,2.354225068126111
1542,1 rue des Irlandais,75005,48.844645498480574,2.3465943543259704
988,10 rue Vauquelin,75005,48.84123393222845,2.3475310665178397
834,17 rue Auguste-Comte,75006,48.84423739103287,2.334832110928193
1232,252 rue Saint-Jacques,75005,48.84368827430109,2.341585221008054
1644,1 rue des Halles,75001,48.85904826539828,2.347178000702781
1548,18 rue Rollin,75005,48.84486529912301,2.34994507295728
882,21 rue Gracieuse,75005,48.842919337993074,2.351334561675083
1999,7 esplanade Henri de France,75015,48.8390027794285,2.2708173596766086
1809,14 rue Pierre Nicole,75005,48.84173558458507,2.3401339950193365
1272,8 rue des Rosiers,75004,48.85699257019509,2.3603413528801447
386,10 rue Cassette,75006,48.8500721555088,2.3307489143291695
1512,84 rue de Vaugirard,75006,48.847360946452,2.3277331945594475
413,26 rue Bréguet,75011,48.85764702481737,2.3741172109076123
2154,68 boulevard de Magenta,75010,48.87453880439686,2.3578819429391036
1779,51 rue des Saints-Pères,75006,48.85472401207185,2.3306728922300994
1227,70 rue de la Tombe-Issoire,75014,48.82887097908403,2.3330605192010045
1767,1 place Saint-Germain-des-Prés,75006,48.85429270976225,2.3337882242412147
1684,292 rue Saint-Martin,75003,48.86697241222538,2.3546413906013854
632,10 rue des Saints-Pères,75007,48.856973276342806,2.332118021597634
1129,5 rue de Thorigny,75003,48.85968397132941,2.36211219940171
997,8 rue Charles V,75004,48.85291946609908,2.36296552823396
2215,120 rue Damremont,75018,48.89491923515139,2.3374027063114795
213,49 rue la Boétie,75008,48.87344576186072,2.3137331175555342
1383,4 passage Goix,75019,48.884948896799585,2.365992868925691
1804,1 rue Saint-Médard,75005,48.84348290793784,2.3511907707025657
269,270 rue Saint-Jacques,75005,48.84201728788947,2.341117065617573
323,63 rue de Caumartin,75009,48.87446153571459,2.328282556207206
382,44 rue Saint-Jacques,75005,48.84976890594712,2.3448067884752817
1082,140 rue de Rivoli,75001,48.86030752978909,2.343052211588378
2068,1 rue Suger,75006,48.85296773571279,2.3424295865860816
1821,1 rue Laplace,75005,48.8471649102099,2.3479687432167995
1304,2w rue de Médicis,75006,48.84751160873264,2.338563528122298
230,22 rue du Cloitre Notre-Dame,75004,48.85358334029348,2.349454303973582
538,1 place de la Bastille,75004,48.85301955978804,2.368035729700038
559,2w rue de Médicis,75006,48.84751160873264,2.338563528122298
1619,13 rue des Gobelins,75013,48.83580195643872,2.351154838329826
393,2 cours du Commerce Saint-André,75006,48.85320969063481,2.3390884371631326
447,37 boulevard de Port-Royal,75013,48.837538967433396,2.345816455664544
1142,5 rue Saint-Jacques,75005,48.852018133803256,2.346340985344478
1093,211 avenue Jean Jaurès,75019,48.88895237282103,2.3924544486861543
1611,85 boulevard Saint-Marcel,75013,48.83674312540098,2.3523627266629488
567,2w rue de Médicis,75006,48.84751160873264,2.338563528122298
1989,48 rue du Château des Rentiers,75013,48.82553029823443,2.3698706500040183
1327,3 avenue Octave Gréard,75007,48.85636165548028,2.293443215233593
1440,123 rue Saint-Jacques,75005,48.84801754669502,2.3441758663245498
1672,80 boulevard Saint-Marcel,75005,48.83744724355711,2.353261043205873
1008,1 place du Châtelet,75001,48.85761393865473,2.346758121848255
978,1 boulevard Masséna,75013,48.823029137394684,2.3728651097913023
1526,25 boulevard Saint-Michel,75005,48.850414083808424,2.34293337053624
1253,2 place Marcelin Berthelot,75005,48.84894292975234,2.3462524980672206
575,2 rue du Mont Cenis,75018,48.88670828858349,2.3415067094794964
659,43 rue Daubenton,75005,48.84011835721204,2.350240235320167
981,141 rue Mouffetard,75005,48.839759919758315,2.3499844542915334
971,64 boulevard Saint-Michel,75006,48.844578834239606,2.3390918104075826
2101,14 rue Soufflot,75005,48.84701182694679,2.3430673083605633
